,Unnamed: 0,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",CPI,Crime Index,Safety Index,GDP,Happiness Rank,Happiness Score,Standard Error,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Dystopia Residual,underFiveMortality,Life expectancy at birth (years),Life expectancy at age 60 (years)
7,7,Afghanistan,2015,3.982854605,7.466215134,0.528597236,51.69352722,0.388927579,0.3651,0.880638301,0.553553164,0.339276046,0.260557145,-1.84436357,-1.29159379,2.16061759,0.542479634,,,0.59691757,11.0,77.34,22.66,20.079,153,3.575,0.03084,,,0.31982,0.30285,0.30335,0.23414,0.09719,1.9521,73.2,60.5,16.0
17,17,Albania,2015,4.606650829,9.303030968,0.639356136,68.69195557,0.703850687,0.14272,0.884793043,0.6883700490000001,0.350426674,0.5069783929999999,0.25162929300000003,-0.15254382800000002,2.729000807,0.592404544,,0.30325,0.422626853,36.0,49.6,50.4,11.338,95,4.959,0.05013,,,0.8786700000000001,0.8043399999999999,0.81325,0.35733000000000004,0.06412999999999999,1.89894,14.0,77.8,21.6
39,39,Argentina,2015,6.69713068,9.85751152,0.926492274,67.25832367,0.8812236790000001,0.11451,0.8509061929999999,0.858544469,0.305354923,0.378169239,0.213269234,-0.57605058,1.953586936,0.291705072,,0.4760666670000001,0.346246392,32.0,62.4,37.6,642.464,30,6.574,0.04612,,,1.05351,1.24823,0.78723,0.44974,0.08484,2.8360000000000003,11.6,76.3,21.5
51,51,Armenia,2015,4.34831953,9.011393547,0.7225510479999999,64.79977417,0.5510266420000001,0.07855,0.901462197,0.594142795,0.43794772,0.17092786699999998,-0.394301742,-0.210141867,2.2376437190000003,0.514599681,0.324,0.325066667,0.377615452,35.0,29.14,70.86,10.552999999999999,127,4.35,0.04763,,,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,1.75873,14.0,74.8,19.6
62,62,Australia,2015,7.309060574,10.68812943,0.95186156,72.51734161,0.921871006,0.43562,0.356554389,0.7900502090000001,0.209636971,0.478556842,1.120239854,1.765201688,1.686917663,0.230798155,,0.34275,0.416127056,79.0,42.16,57.84,1232.9180000000001,10,7.284,0.04083,,,1.33358,1.30923,0.93156,0.6512399999999999,0.35637,2.26646,3.8,82.8,25.5
72,72,Austria,2015,7.07644701,10.69849014,0.928110301,71.73971558,0.900305152,0.33088,0.55747962,0.798262954,0.164469033,0.454789877,1.263259649,1.564293861,1.762816906,0.249110445,,0.303818182,0.319265366,76.0,26.25,73.75,382.25800000000004,13,7.2,0.03751,,,1.33723,1.29704,0.8904200000000001,0.62433,0.18676,2.5332,3.6,81.5,24.1
84,84,Azerbaijan,2015,5.146774768999999,9.723095894,0.785702765,62.86454391,0.764289498,0.07799,0.615552545,0.60656935,0.206114277,0.788487196,-1.140934467,-0.528914392,1.696346283,0.32959404600000003,,0.228833333,0.287744969,29.0,35.47,64.53,50.843999999999994,80,5.2120000000000015,0.03363,,,1.02389,0.93793,0.64045,0.3703,0.16065,2.00073,32.0,72.7,18.7
93,93,Bahrain,2015,6.00737524,10.69027233,0.852550745,65.88445282,0.84952116,0.17362,,0.715542972,0.302972108,,-1.193268418,0.485886216,2.176904917,0.362372071,,,0.48130253,51.0,39.97,60.03,31.125999999999998,49,5.96,0.05412,,,1.32376,1.21624,0.74716,0.45492,0.306,1.73797,7.7,76.9,19.7
105,105,Bangladesh,2015,4.633473873,8.049608231,0.601468265,61.90423584,0.814796269,0.21222,0.720600903,0.634507656,0.225753754,0.760611534,-0.8620218040000001,-0.7955590490000001,2.1561183930000003,0.46533519,,0.329,0.4680546820000001,25.0,64.25,35.75,208.322,109,4.694,0.03077,,,0.39753,0.4310600000000001,0.60164,0.4082,0.12569,2.51767,36.3,71.8,19.0
117,117,Belarus,2015,5.718907832999999,9.75438118,0.924072623,65.44390106,0.622753441,0.11046,0.668678164,0.583726883,0.184309959,0.520024061,-0.677491605,-0.650083005,2.004020929,0.35042020700000004,0.267,0.281875,0.330838978,32.0,30.5,69.5,56.32899999999999,59,5.813,0.03938,,,1.0319200000000002,1.23289,0.7360800000000001,0.37938,0.1909,2.1309,4.0,72.3,18.8
128,128,Belgium,2015,6.904219151,10.63880634,0.885208845,72.14292908,0.869474947,0.2225,0.46878463,0.80517751,0.239958704,0.459024221,0.987220705,1.440813422,1.511810899,0.218969136,,0.28518181800000003,0.403824568,77.0,42.04,57.96,455.43,19,6.937,0.03595,,,1.30782,1.28566,0.8966700000000001,0.5845,0.2254,2.4148400000000003,4.0,81.1,24.1
