Rank,Country,Crime Index,Safety Index
1,Afghanistan,82.51,17.49
2,Venezuela,81.5,18.5
3,Guatemala,79.31,20.69
4,Kenya,78.9,21.1
5,Trinidad And Tobago,78.69,21.31
6,South Africa,78.53,21.47
7,Nigeria,77.86,22.14
8,Haiti,72.5,27.5
9,Jamaica,71.03,28.97
10,Bolivia,68.97,31.03
11,Honduras,68.87,31.13
12,Brazil,67,33
13,Malaysia,66.41,33.59
14,Dominican Republic,66.36,33.64
15,Mongolia,66.23,33.77
16,El Salvador,64.35,35.65
17,Uzbekistan,64.3,35.7
18,Pakistan,63.75,36.25
19,Angola,63.05,36.95
20,Uganda,62.24,37.76
21,Bangladesh,62.17,37.83
22,Libya,61.42,38.58
23,Costa Rica,61.4,38.6
24,Zimbabwe,60.82,39.18
25,Ecuador,59.97,40.03
26,Puerto Rico,59.3,40.7
27,Colombia,58.54,41.46
28,Peru,58.14,41.86
29,Kyrgyzstan,57.94,42.06
30,Argentina,57.48,42.52
31,Tanzania,57.11,42.89
32,Syria,57.07,42.93
33,Mauritius,55.72,44.28
34,Iran,55.01,44.99
35,Paraguay,53.83,46.17
36,Ireland,53.59,46.41
37,Vietnam,53.26,46.74
38,Russia,52.67,47.33
39,Mexico,52.46,47.54
40,Egypt,52.43,47.57
41,Algeria,52.31,47.69
42,Nepal,51.82,48.18
43,Albania,51.31,48.69
44,United States,50.15,49.85
45,Lebanon,50.1,49.9
46,Kazakhstan,49.41,50.59
47,Ukraine,49.37,50.63
48,Morocco,48.39,51.61
49,Jordan,47.58,52.42
50,France,47.28,52.72
51,Chile,47.09,52.91
52,Nicaragua,47.05,52.95
53,Botswana,47.03,52.97
54,Tunisia,47.03,52.97
55,Indonesia,46.67,53.33
56,Uruguay,46.64,53.36
57,Iraq,46.64,53.36
58,Ghana,46.38,53.62
59,Moldova,46.32,53.68
60,Italy,45.59,54.41
61,Namibia,45.53,54.47
62,Bosnia And Herzegovina,44.98,55.02
63,Barbados,44.38,55.62
64,Latvia,43.74,56.26
65,India,43.7,56.3
66,Greece,43.05,56.95
67,New Zealand,42.85,57.15
68,United Kingdom,42.62,57.38
69,Laos,42.5,57.5
70,Sri Lanka,42.43,57.57
71,Philippines,41.9,58.1
72,Macedonia,41.67,58.33
73,Panama,41.59,58.41
74,Belgium,41.53,58.47
75,Australia,41.23,58.77
76,Cambodia,40.76,59.24
77,Bulgaria,40.02,59.98
78,Turkey,39.95,60.05
79,Serbia,39.28,60.72
80,Eritrea,39.14,60.86
81,Fiji,38.98,61.02
82,Sweden,38.28,61.72
83,Thailand,37.56,62.44
84,Cyprus,37.56,62.44
85,Poland,37.53,62.47
86,Hungary,37.52,62.48
87,Netherlands,37.07,62.93
88,Kuwait,36.44,63.56
89,Canada,36.29,63.71
90,Ethiopia,36.07,63.93
91,Portugal,35.06,64.94
92,Armenia,35.01,64.99
93,Sudan,34.84,65.16
94,Lithuania,34.71,65.29
95,Azerbaijan,34.16,65.84
96,Czech Republic,33.88,66.12
97,Norway,33.73,66.27
98,Israel,33.28,66.72
99,Slovenia,33.21,66.79
100,Belarus,32.89,67.11
101,Slovakia,32.72,67.28
102,Spain,32.42,67.58
103,Luxembourg,31.88,68.12
104,Switzerland,31.79,68.21
105,Iceland,31.68,68.32
106,Brunei,31.5,68.5
107,China,30.13,69.87
108,Saudi Arabia,29.38,70.62
109,Denmark,29.27,70.73
110,Finland,29.16,70.84
111,Oman,29.1,70.9
112,Estonia,29.07,70.93
113,Monaco,29.01,70.99
114,Croatia,28.9,71.1
115,Romania,28.73,71.27
116,Germany,27.14,72.86
117,Austria,25.83,74.17
118,Hong Kong,22.68,77.32
119,Qatar,21.76,78.24
120,Taiwan,21.47,78.53
121,Singapore,21.35,78.65
122,United Arab Emirates,20.79,79.21
123,Bahrain,20.52,79.48
124,Georgia,19.91,80.09
125,Japan,18.1,81.9
126,Isle Of Man,16.95,83.05
127,South Korea,16.35,83.65
128,Malta,14.17,85.83
