,Country,Crime Index,Safety Index
1,Afghanistan,73.85,26.15
2,Albania,44.27,55.73
3,Algeria,49.63,50.37
4,Angola,65.51,34.49
5,Argentina,62.63,37.37
6,Armenia,27.08,72.92
7,Australia,42.42,57.58
8,Austria,19.25,80.75
9,Azerbaijan,27.05,72.95
10,Bahamas,63.21,36.79
11,Bahrain,35.35,64.65
12,Bangladesh,67.24,32.76
13,Belarus,22.26,77.74
14,Belgium,44.51,55.49
15,Bolivia,59.5,40.5
16,Bosnia And Herzegovina,40.97,59.03
17,Botswana,58.22,41.78
18,Brazil,70.62,29.38
19,Brunei,36.07,63.93
20,Bulgaria,40.18,59.82
21,Cambodia,54.61,45.39
22,Canada,39.25,60.75
23,Chile,47.5,52.5
24,China,33.9,66.1
25,Colombia,51.69,48.31
26,Costa Rica,55.94,44.06
27,Croatia,27.8,72.2
28,Cyprus,32.46,67.54
29,Czech Republic,30.18,69.82
30,Denmark,21.13,78.87
31,Dominican Republic,62.62,37.38
32,Ecuador,50.88,49.12
33,Egypt,52.86,47.14
34,El Salvador,71.57,28.43
35,Estonia,23,77
36,Ethiopia,49.18,50.82
37,Fiji,55.6,44.4
38,Finland,24.63,75.37
39,France,43.66,56.34
40,Georgia,20.83,79.17
41,Germany,32.03,67.97
42,Ghana,46.99,53.01
43,Greece,40.32,59.68
44,Guatemala,59.58,40.42
45,Honduras,78.34,21.66
46,Hong Kong,20.68,79.32
47,Hungary,38.39,61.61
48,Iceland,27.49,72.51
49,India,43.96,56.04
50,Indonesia,49.68,50.32
51,Iran,50.9,49.1
52,Iraq,54.35,45.65
53,Ireland,45.77,54.23
54,Israel,29.01,70.99
55,Italy,44.66,55.34
56,Jamaica,67.48,32.52
57,Japan,20.89,79.11
58,Jordan,43.14,56.86
59,Kazakhstan,48.29,51.71
60,Kenya,64.96,35.04
61,Kuwait,33.48,66.52
62,Latvia,36.45,63.55
63,Lebanon,49.16,50.84
64,Libya,54.47,45.53
65,Lithuania,40.03,59.97
66,Luxembourg,29.04,70.96
67,Macedonia,38.66,61.34
68,Malaysia,64.75,35.25
69,Maldives,46.98,53.02
70,Malta,30.56,69.44
71,Mauritius,51.13,48.87
72,Mexico,50.32,49.68
73,Moldova,45.35,54.65
74,Mongolia,67.62,32.38
75,Montenegro,38.67,61.33
76,Morocco,48.89,51.11
77,Namibia,63.09,36.91
78,Nepal,37.15,62.85
79,Netherlands,29.89,70.11
80,New Zealand,38.78,61.22
81,Nigeria,70.87,29.13
82,Norway,45.69,54.31
83,Oman,24.47,75.53
84,Pakistan,54.38,45.62
85,Palestinian Territory,38.01,61.99
86,Panama,50.01,49.99
87,Papua New Guinea,82.38,17.62
88,Peru,63.28,36.72
89,Philippines,39.77,60.23
90,Poland,31.53,68.47
91,Portugal,35.39,64.61
92,Puerto Rico,69.19,30.81
93,Qatar,15.7,84.3
94,Romania,27.95,72.05
95,Russia,46.05,53.95
96,Saudi Arabia,23.65,76.35
97,Serbia,38.62,61.38
98,Singapore,16.58,83.42
99,Slovakia,30.18,69.82
100,Slovenia,24.05,75.95
101,Somalia,58.83,41.17
102,South Africa,75.72,24.28
103,South Korea,25.27,74.73
104,South Sudan,78.18,21.82
105,Spain,31.28,68.72
106,Sri Lanka,34.57,65.43
107,Sudan,35.05,64.95
108,Sweden,46.65,53.35
109,Switzerland,22.45,77.55
110,Syria,66.34,33.66
111,Taiwan,17.24,82.76
112,Tanzania,61.39,38.61
113,Thailand,49.78,50.22
114,Trinidad And Tobago,70.15,29.85
115,Tunisia,40.94,59.06
116,Turkey,41.09,58.91
117,Uganda,56.87,43.13
118,Ukraine,51.27,48.73
119,United Arab Emirates,20.66,79.34
120,United Kingdom,41.19,58.81
121,United States,48.76,51.24
122,Uruguay,51.64,48.36
123,Venezuela,85.28,14.72
124,Vietnam,52.96,47.04
125,Zimbabwe,53.46,46.54
