Rank,Country,Crime Index,Safety Index
1,Venezuela,84.74,15.26
2,South Africa,78.12,21.88
3,Puerto Rico,73.06,26.94
4,Malaysia,70.88,29.12
5,United States,64.93,35.07
6,Algeria,64.84,35.16
7,Mexico,62.54,37.46
8,Peru,60.94,39.06
9,Lebanon,59.9,40.1
10,Bangladesh,59.69,40.31
11,Brazil,59.26,40.74
12,Pakistan,58.71,41.29
13,Italy,56.67,43.33
14,Chile,56.35,43.65
15,Ecuador,55.41,44.59
16,Ukraine,55.39,44.61
17,Philippines,53.09,46.91
18,Greece,52.03,47.97
19,Iran,51.86,48.14
20,Russia,50.57,49.43
21,Argentina,48.38,51.62
22,Colombia,47.21,52.79
23,Slovakia,46.88,53.12
24,New Zealand,46.81,53.19
25,Ireland,46.07,53.93
26,United Kingdom,46.04,53.96
27,India,45.64,54.36
28,Denmark,45.31,54.69
29,France,44.76,55.24
30,China,44.47,55.53
31,Egypt,44.31,55.69
32,Austria,44.08,55.92
33,Uruguay,42.81,57.19
34,Bulgaria,41.37,58.63
35,Israel,40.78,59.22
36,Portugal,40.64,59.36
37,Belgium,40.62,59.38
38,Australia,40.62,59.38
39,Bosnia And Herzegovina,40.31,59.69
40,Canada,39.82,60.18
41,Thailand,39.67,60.33
42,Lithuania,39.06,60.94
43,Poland,38.7,61.3
44,Azerbaijan,38.54,61.46
45,Jamaica,36.72,63.28
46,Czech Republic,36.59,63.41
47,Sweden,36.24,63.76
48,United Arab Emirates,35.95,64.05
49,Slovenia,35.71,64.29
50,Morocco,33.59,66.41
51,Iceland,33.33,66.67
52,Spain,32.96,67.04
53,Saudi Arabia,32.48,67.52
54,Panama,32.42,67.58
55,Croatia,32.42,67.58
56,Georgia,31.33,68.67
57,Hungary,30.47,69.53
58,Cyprus,30.27,69.73
59,Albania,30.08,69.92
60,Romania,29.59,70.41
61,Serbia,28.7,71.3
62,Netherlands,28.4,71.6
63,Turkey,26.38,73.62
64,Switzerland,25.78,74.22
65,Estonia,25,75
66,Indonesia,23.87,76.13
67,Germany,21.2,78.8
68,Malta,20.31,79.69
69,Singapore,20.21,79.79
70,Jordan,19.14,80.86
71,Norway,19.07,80.93
72,Finland,17.58,82.42
73,Hong Kong,14.45,85.55
74,Taiwan,9.45,90.55
75,Japan,5.75,94.25
