Country,ISO3,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
New Zealand,NZL,89,90,91,91,91,90
Denmark,DNK,88,90,91,92,91,90
Finland,FIN,85,89,90,89,89,90
Norway,NOR,85,85,88,86,86,85
Switzerland,CHE,85,86,86,86,85,86
Singapore,SGP,84,84,85,84,86,87
Sweden,SWE,84,88,89,87,89,88
Canada,CAN,82,82,83,81,81,84
Luxembourg,LUX,82,81,85,82,80,80
Netherlands,NLD,82,83,84,83,83,84
United Kingdom,GBR,82,81,81,78,76,74
Germany,DEU,81,81,81,79,78,79
Australia,AUS,77,79,79,80,81,85
Hong Kong,HKG,77,77,75,74,75,77
Iceland,ISL,77,78,79,79,78,82
Austria,AUT,75,75,76,72,69,69
Belgium,BEL,75,77,77,76,75,75
United States of America,USA,75,74,76,74,73,73
Ireland,IRL,74,73,75,74,72,69
Japan,JPN,73,72,75,76,74,74
Estonia,EST,71,70,70,69,68,64
United Arab Emirates,ARE,71,66,70,70,69,68
France,FRA,70,69,70,69,71,71
Uruguay,URY,70,71,74,73,73,72
Barbados,BRB,68,61,,74,75,76
Bhutan,BTN,67,65,65,65,63,63
Chile,CHL,67,66,70,73,71,72
Bahamas,BHS,65,66,,71,71,71
Portugal,PRT,63,62,64,63,62,63
Qatar,QAT,63,61,71,69,68,68
Taiwan,TWN,63,61,62,61,61,61
Brunei Darussalam,BRN,62,58,,,60,55
Israel,ISR,62,64,61,60,61,60
Botswana,BWA,61,60,63,63,64,65
Slovenia,SVN,61,61,60,58,57,61
Poland,POL,60,62,63,61,60,58
Seychelles,SYC,60,,55,55,54,52
Costa Rica,CRI,59,58,55,54,53,54
Lithuania,LTU,59,59,59,58,57,54
Latvia,LVA,58,57,56,55,53,49
Saint Vincent and the Grenadines,VCT,58,60,,62,62,62
Cyprus,CYP,57,55,61,63,63,66
Czech Republic,CZE,57,55,56,51,48,49
Dominica,DMA,57,59,,58,58,58
Spain,ESP,57,58,58,60,59,65
Georgia,GEO,56,57,52,52,49,52
Malta,MLT,56,55,60,55,56,57
